year,month,occupation_title,ai_exposure,ai_complementarity,labour_force,employment,full_time_employment,part_time_employment,unemployment,unemployment_rate
2010,1,Management occupations,High,High,1739.4,1692.9,1560.4,132.5,46.6,2.7
2010,2,Management occupations,High,High,1776.5,1713.2,1569.9,143.3,63.3,3.6
2010,3,Management occupations,High,High,1758.7,1707.3,1563,144.3,51.4,2.9
2010,4,Management occupations,High,High,1768.3,1720.6,1596.1,124.5,47.8,2.7
2010,5,Management occupations,High,High,1756.3,1711,1589.4,121.6,45.3,2.6
2010,6,Management occupations,High,High,1744.9,1704,1585.9,118.2,40.9,2.3
2010,7,Management occupations,High,High,1773.5,1729,1599.2,129.8,44.6,2.5
2010,8,Management occupations,High,High,1745.4,1708.7,1591.1,117.6,36.6,2.1
2010,9,Management occupations,High,High,1735.4,1703.1,1580.9,122.2,32.3,1.9
2010,10,Management occupations,High,High,1685.2,1642.5,1533.9,108.6,42.7,2.5
2010,11,Management occupations,High,High,1683.5,1645.8,1534.7,111.1,37.7,2.2
2010,12,Management occupations,High,High,1714.2,1674.2,1556.9,117.3,40,2.3
2011,1,Management occupations,High,High,1715.9,1671.1,1537.3,133.8,44.8,2.6
2011,2,Management occupations,High,High,1704.8,1657.4,1522.6,134.8,47.4,2.8
2011,3,Management occupations,High,High,1691.1,1642.3,1512.9,129.4,48.8,2.9
2011,4,Management occupations,High,High,1717.4,1670.1,1544.2,125.9,47.3,2.8
2011,5,Management occupations,High,High,1676.2,1634.2,1500.2,133.9,42,2.5
2011,6,Management occupations,High,High,1652.6,1618.1,1479.3,138.8,34.4,2.1
2011,7,Management occupations,High,High,1645.9,1617.5,1478.8,138.7,28.4,1.7
2011,8,Management occupations,High,High,1648.5,1618,1492.9,125.2,30.4,1.8
2011,9,Management occupations,High,High,1669.1,1637.4,1509.5,127.9,31.7,1.9
2011,10,Management occupations,High,High,1664,1631.2,1495.2,136,32.8,2
2011,11,Management occupations,High,High,1664,1627.2,1493.3,133.9,36.8,2.2
2011,12,Management occupations,High,High,1675,1640.5,1505.6,134.8,34.5,2.1
2012,1,Management occupations,High,High,1703.8,1666.4,1523.7,142.8,37.3,2.2
2012,2,Management occupations,High,High,1635.1,1602.4,1466.1,136.3,32.8,2
2012,3,Management occupations,High,High,1634.2,1597.4,1467.4,130,36.7,2.2
2012,4,Management occupations,High,High,1670.9,1641.8,1507.2,134.6,29.1,1.7
2012,5,Management occupations,High,High,1696.1,1664.6,1550.5,114.2,31.4,1.9
