treat,age,education,black,hispanic,married,nodegree,re74,re78
1,37,11,1,0,1,1,0,9930.0458984375
1,22,9,0,1,0,1,0,3595.89404296875
1,30,12,1,0,0,0,0,24909.44921875
1,27,11,1,0,0,1,0,7506.14599609375
1,33,8,1,0,0,1,0,289.7898864746094
1,22,9,1,0,0,1,0,4056.493896484375
1,23,12,1,0,0,0,0,0
1,32,11,1,0,0,1,0,8472.158203125
1,22,16,1,0,0,0,0,2164.02197265625
1,33,12,0,0,1,0,0,12418.0703125
1,19,9,1,0,0,1,0,8173.908203125
1,21,13,1,0,0,0,0,17094.640625
1,18,8,1,0,0,1,0,0
1,27,10,1,0,1,1,0,18739.9296875
1,17,7,1,0,0,1,0,3023.87890625
1,19,10,1,0,0,1,0,3228.5029296875
1,27,13,1,0,0,0,0,14581.8603515625
1,23,10,1,0,0,1,0,7693.39990234375
1,40,12,1,0,0,0,0,10804.3203125
1,26,12,1,0,0,0,0,10747.349609375
1,23,11,1,0,0,1,0,0
1,41,14,0,0,0,0,0,5149.5009765625
1,38,9,0,0,0,1,0,6408.9501953125
1,24,11,1,0,0,1,0,1991.4000244140625
1,18,10,1,0,0,1,0,11163.169921875
1,29,11,1,0,1,1,0,9642.9990234375
1,25,11,1,0,0,1,0,9897.048828125
1,27,10,0,1,0,1,0,11142.8701171875
1,17,10,1,0,0,1,0,16218.0400390625
1,24,11,1,0,0,1,0,995.7001953125
1,17,10,1,0,0,1,0,0
1,48,4,1,0,0,1,0,6551.591796875
1,25,11,1,0,1,1,0,1574.4239501953125
1,20,12,1,0,0,0,0,0
1,25,12,1,0,0,0,0,3191.7529296875
1,42,14,1,0,0,0,0,20505.9296875
1,25,5,1,0,0,1,0,6181.8798828125
1,23,12,1,0,1,0,0,5911.55078125
1,46,8,1,0,1,1,0,3094.156005859375
1,24,10,1,0,0,1,0,0
1,21,12,1,0,0,0,0,1254.58203125
1,19,9,0,0,0,1,0,13188.830078125
1,17,8,1,0,0,1,0,8061.48486328125
1,18,8,0,1,1,1,0,2787.9599609375
1,20,11,1,0,0,1,0,3972.5400390625
1,25,11,1,0,1,1,0,0
1,17,8,1,0,0,1,0,0
1,17,9,1,0,0,1,0,0
1,25,5,1,0,0,1,0,12187.41015625
1,23,12,1,0,0,0,0,4843.17578125
1,28,8,1,0,0,1,0,0
1,31,11,1,0,1,1,0,8087.48681640625
1,18,11,1,0,0,1,0,0
1,25,12,1,0,0,0,0,2348.972900390625
1,30,11,1,0,1,1,0,590.78179931640625
1,17,10,1,0,0,1,0,0
1,37,9,1,0,0,1,0,1067.5059814453125
1,41,4,1,0,1,1,0,7284.98583984375
1,42,14,1,0,1,0,0,13167.51953125
1,22,11,0,0,0,1,0,1048.4320068359375
1,17,8,1,0,0,1,0,0
1,29,8,1,0,0,1,0,1923.93798828125
1,35,10,1,0,0,1,0,4666.23583984375
1,27,11,1,0,0,1,0,549.29840087890625
1,29,4,1,0,0,1,0,762.91461181640625
1,28,9,1,0,0,1,0,10694.2900390625
1,27,11,1,0,0,1,0,0
1,23,7,0,0,0,1,0,0
1,45,5,1,0,1,1,0,8546.71484375
1,29,13,1,0,0,0,0,7479.65576171875
1,27,9,1,0,0,1,0,0
1,46,13,1,0,0,0,0,647.20458984375
1,18,6,1,0,0,1,0,0
1,25,12,1,0,0,0,0,11965.8095703125
1,28,15,1,0,0,0,0,9598.541015625
1,25,11,0,0,0,1,0,18783.349609375
1,22,12,1,0,0,0,0,18678.080078125
1,21,9,1,0,0,1,0,0
1,40,11,1,0,0,1,0,23005.599609375
1,22,11,1,0,0,1,0,6456.69677734375
1,25,12,1,0,0,0,0,0
1,18,12,1,0,0,0,0,2321.10693359375
1,38,12,0,0,0,0,0,4941.84912109375
1,27,13,1,0,0,0,0,0
1,27,8,1,0,0,1,0,0
1,38,11,1,0,0,1,0,0
1,23,8,0,1,0,1,0,3881.283935546875
1,26,11,1,0,0,1,0,17230.9609375
1,21,12,0,0,0,0,0,8048.60302734375
1,25,8,1,0,0,1,0,0
1,31,11,1,0,1,1,0,14509.9296875
1,17,10,1,0,0,1,0,0
1,25,11,1,0,0,1,0,0
1,21,12,1,0,0,0,0,9983.7841796875
1,44,11,1,0,0,1,0,0
1,25,12,0,0,0,0,0,5587.5029296875
1,18,9,1,0,0,1,0,4482.84521484375
1,42,12,1,0,0,0,0,2456.153076171875
1,25,10,1,0,0,1,0,0
1,31,9,0,1,0,1,0,26817.599609375
1,24,10,1,0,0,1,0,0
1,26,10,1,0,0,1,0,9265.7880859375
1,25,11,1,0,0,1,0,485.22979736328125
1,18,11,1,0,0,1,0,4814.626953125
1,19,11,1,0,0,1,0,7458.10498046875
1,43,9,1,0,0,1,0,0
1,27,13,1,0,0,0,0,34099.28125
1,17,9,1,0,0,1,0,1953.2679443359375
1,30,11,1,0,0,1,0,0
1,26,10,1,0,1,1,2027.9990234375,0
1,20,9,1,0,0,1,6083.994140625,8881.6650390625
1,17,9,0,1,0,1,445.17041015625,6210.669921875
1,20,12,1,0,0,0,989.267822265625,0
1,18,11,1,0,0,1,858.2542724609375,929.8839111328125
1,27,12,1,0,1,0,3670.8720703125,0
1,21,12,0,0,0,0,3670.8720703125,12558.01953125
1,27,12,1,0,0,0,2143.4130859375,22163.25
1,20,12,1,0,0,0,0,1652.636962890625
1,19,10,1,0,0,1,0,8124.71484375
1,23,12,1,0,0,0,5506.30810546875,671.331787109375
1,29,14,1,0,0,0,0,17814.98046875
1,18,10,1,0,0,1,0,9737.154296875
1,19,9,1,0,0,1,0,17685.1796875
1,27,13,0,0,1,0,9381.56640625,0
1,18,11,0,0,0,1,3678.23095703125,4321.705078125
1,27,9,1,0,1,1,0,1773.4229736328125
1,22,12,1,0,0,0,5605.85205078125,0
1,23,10,1,0,1,1,0,11233.259765625
1,23,12,0,1,0,0,9385.740234375,559.44317626953125
1,20,11,1,0,0,1,3637.498046875,1085.43994140625
1,17,9,1,0,0,1,1716.509033203125,5445.2001953125
1,28,11,1,0,0,1,0,60307.9296875
1,26,11,1,0,1,1,0,1460.3599853515625
1,20,11,1,0,0,1,16318.6201171875,6943.341796875
1,24,11,1,0,1,1,824.38861083984375,4032.7080078125
1,31,9,1,0,0,1,0,10363.26953125
1,23,8,0,0,1,1,0,4232.30908203125
1,18,10,1,0,0,1,2143.410888671875,11141.3896484375
1,29,12,1,0,0,0,10881.9404296875,0
1,26,11,0,0,0,1,0,13385.8603515625
1,24,9,1,0,0,1,9154.7001953125,4849.55908203125
1,25,12,1,0,0,0,14426.7900390625,0
1,24,10,1,0,0,1,4250.40185546875,1660.508056640625
1,46,8,1,0,0,1,3165.657958984375,0
1,31,12,0,0,0,0,0,2484.549072265625
1,19,11,1,0,0,1,2305.02587890625,4146.60302734375
1,19,8,1,0,0,1,0,9970.6806640625
1,27,11,1,0,0,1,2206.93994140625,0
1,26,11,1,0,1,1,0,26372.279296875
1,20,10,1,0,0,1,5005.73095703125,5615.18896484375
1,28,10,1,0,0,1,0,3196.571044921875
1,24,12,1,0,0,0,13765.75,6167.68115234375
1,19,8,1,0,0,1,2636.35302734375,7535.94189453125
1,23,12,1,0,0,0,6269.3408203125,8484.2392578125
1,42,9,1,0,1,1,0,1294.4090576171875
1,25,13,1,0,0,0,12362.9296875,0
1,18,9,1,0,0,1,0,5010.341796875
1,21,12,1,0,0,0,6473.68310546875,9371.037109375
1,27,10,1,0,0,1,1001.14599609375,0
1,21,8,1,0,0,1,989.267822265625,4279.61279296875
1,22,9,1,0,0,1,2192.876953125,3462.56396484375
