home,calls,tenure,age,parent
1,4.1,0,35,1
1,4.1,0,35,1
0,4.4,0,35,1
1,4.1,0,35,1
1,4.1,0,35,1
1,4.1,0,35,1
1,4.1,0,35,1
1,4.1,0,35,1
1,4.1,0,35,1
1,4.1,0,35,1
0,4.4,0,35,1
0,4.4,0,35,1
1,4.1,0,35,1
1,4.1,0,35,1
1,4.1,0,35,1
1,4.1,0,35,1
1,4.1,0,35,1
1,4.1,0,35,1
1,4.1,0,35,1
1,4.1,0,35,1
1,4.1,0,35,1
1,4.1,0,35,1
0,4.4,0,35,1
1,4.1,0,35,1
1,4.1,0,35,1
0,4.4,0,35,1
1,4.1,0,35,1
0,4.4,0,35,1
1,4.1,0,35,1
1,4.1,0,35,1
1,6,2,26,0
0,5.8,2,26,0
1,6,2,26,0
1,6,2,26,0
1,6,2,26,0
1,6,2,26,0
1,6,2,26,0
1,6,2,26,0
0,5.8,2,26,0
1,6,2,26,0
1,6,2,26,0
0,5.8,2,26,0
1,6,2,26,0
1,6,2,26,0
1,6,2,26,0
1,6,2,26,0
1,6,2,26,0
1,6,2,26,0
1,6,2,26,0
1,6,2,26,0
0,5.8,2,26,0
1,6,2,26,0
1,6,2,26,0
0,5.8,2,26,0
1,6,2,26,0
1,6,2,26,0
1,6,2,26,0
1,6,2,26,0
1,6,2,26,0
1,6,2,26,0
0,5.8,1,26,0
0,5.8,1,26,0
1,5.9,1,26,0
1,5.9,1,26,0
1,5.9,1,26,0
1,5.9,1,26,0
1,5.9,1,26,0
0,5.8,1,26,0
1,5.9,1,26,0
1,5.9,1,26,0
1,5.9,1,26,0
1,5.9,1,26,0
1,5.9,1,26,0
1,5.9,1,26,0
1,5.9,1,26,0
0,5.8,1,26,0
0,5.8,1,26,0
0,5.8,1,26,0
1,5.9,1,26,0
1,5.9,1,26,0
1,5.9,1,26,0
1,5.9,1,26,0
1,5.9,1,26,0
0,5.8,1,26,0
1,5.9,1,26,0
1,5.9,1,26,0
1,5.9,1,26,0
1,5.9,1,26,0
1,5.9,1,26,0
0,5.8,1,26,0
0,6.1,3,38,0
1,6.3,3,38,0
1,6.3,3,38,0
0,6.1,3,38,0
1,6.3,3,38,0
1,6.3,3,38,0
0,6.1,3,38,0
1,6.3,3,38,0
1,6.3,3,38,0
0,6.1,3,38,0
1,6.3,3,38,0
1,6.3,3,38,0
0,6.1,3,38,0
1,6.3,3,38,0
1,6.3,3,38,0
1,6.3,3,38,0
0,6.1,3,38,0
0,6.1,3,38,0
0,6.1,3,38,0
0,6.1,3,38,0
1,6.3,3,38,0
0,6.1,3,38,0
1,6.3,3,38,0
0,6.1,3,38,0
0,6.1,3,38,0
1,6.3,3,38,0
0,6.1,3,38,0
0,6.1,3,38,0
0,6.1,3,38,0
1,6.3,3,38,0
1,6.1,3,40,0
1,6.1,3,40,0
1,6.1,3,40,0
0,5.8,3,40,0
0,5.8,3,40,0
1,6.1,3,40,0
0,5.8,3,40,0
0,5.8,3,40,0
0,5.8,3,40,0
0,5.8,3,40,0
1,6.1,3,40,0
1,6.1,3,40,0
0,5.8,3,40,0
1,6.1,3,40,0
1,6.1,3,40,0
1,6.1,3,40,0
0,5.8,3,40,0
1,6.1,3,40,0
0,5.8,3,40,0
0,5.8,3,40,0
1,6.1,3,40,0
0,5.8,3,40,0
0,5.8,3,40,0
1,6.1,3,40,0
0,5.8,3,40,0
0,5.8,3,40,0
0,5.8,3,40,0
0,5.8,3,40,0
0,5.8,3,40,0
0,5.8,3,40,0
0,4.9,0,28,0
1,4.8,0,28,0
1,4.8,0,28,0
1,4.8,0,28,0
1,4.8,0,28,0
1,4.8,0,28,0
1,4.8,0,28,0
0,4.9,0,28,0
0,4.9,0,28,0
1,4.8,0,28,0
1,4.8,0,28,0
1,4.8,0,28,0
1,4.8,0,28,0
0,4.9,0,28,0
1,4.8,0,28,0
1,4.8,0,28,0
1,4.8,0,28,0
1,4.8,0,28,0
0,4.9,0,28,0
1,4.8,0,28,0
1,4.8,0,28,0
1,4.8,0,28,0
1,4.8,0,28,0
1,4.8,0,28,0
1,4.8,0,28,0
1,4.8,0,28,0
1,4.8,0,28,0
1,4.8,0,28,0
1,4.8,0,28,0
0,4.9,0,28,0
1,5.3,1,41,1
1,5.3,1,41,1
1,5.3,1,41,1
1,5.3,1,41,1
1,5.3,1,41,1
1,5.3,1,41,1
1,5.3,1,41,1
1,5.3,1,41,1
1,5.3,1,41,1
0,5.4,1,41,1
0,5.4,1,41,1
1,5.3,1,41,1
0,5.4,1,41,1
1,5.3,1,41,1
0,5.4,1,41,1
1,5.3,1,41,1
1,5.3,1,41,1
1,5.3,1,41,1
0,5.4,1,41,1
1,5.3,1,41,1
1,5.3,1,41,1
1,5.3,1,41,1
1,5.3,1,41,1
1,5.3,1,41,1
0,5.4,1,41,1
1,5.3,1,41,1
1,5.3,1,41,1
1,5.3,1,41,1
1,5.3,1,41,1
1,5.3,1,41,1
1,6.1,3,28,0
1,6.1,3,28,0
0,5.9,3,28,0
0,5.9,3,28,0
0,5.9,3,28,0
0,5.9,3,28,0
0,5.9,3,28,0
0,5.9,3,28,0
1,6.1,3,28,0
1,6.1,3,28,0
0,5.9,3,28,0
1,6.1,3,28,0
1,6.1,3,28,0
0,5.9,3,28,0
1,6.1,3,28,0
0,5.9,3,28,0
0,5.9,3,28,0
1,6.1,3,28,0
1,6.1,3,28,0
0,5.9,3,28,0
1,6.1,3,28,0
1,6.1,3,28,0
1,6.1,3,28,0
1,6.1,3,28,0
1,6.1,3,28,0
1,6.1,3,28,0
0,5.9,3,28,0
0,5.9,3,28,0
0,5.9,3,28,0
1,6.1,3,28,0
1,5.6,1,37,0
1,5.6,1,37,0
1,5.6,1,37,0
1,5.6,1,37,0
1,5.6,1,37,0
1,5.6,1,37,0
1,5.6,1,37,0
1,5.6,1,37,0
1,5.6,1,37,0
0,5.5,1,37,0
1,5.6,1,37,0
0,5.5,1,37,0
1,5.6,1,37,0
1,5.6,1,37,0
0,5.5,1,37,0
0,5.5,1,37,0
1,5.6,1,37,0
1,5.6,1,37,0
1,5.6,1,37,0
1,5.6,1,37,0
1,5.6,1,37,0
1,5.6,1,37,0
1,5.6,1,37,0
0,5.5,1,37,0
1,5.6,1,37,0
0,5.5,1,37,0
0,5.5,1,37,0
1,5.6,1,37,0
1,5.6,1,37,0
1,5.6,1,37,0
1,5.9,1,33,0
0,5.8,1,33,0
1,5.9,1,33,0
1,5.9,1,33,0
1,5.9,1,33,0
1,5.9,1,33,0
0,5.8,1,33,0
0,5.8,1,33,0
0,5.8,1,33,0
1,5.9,1,33,0
0,5.8,1,33,0
0,5.8,1,33,0
1,5.9,1,33,0
0,5.8,1,33,0
1,5.9,1,33,0
1,5.9,1,33,0
0,5.8,1,33,0
0,5.8,1,33,0
0,5.8,1,33,0
0,5.8,1,33,0
0,5.8,1,33,0
1,5.9,1,33,0
1,5.9,1,33,0
1,5.9,1,33,0
1,5.9,1,33,0
0,5.8,1,33,0
1,5.9,1,33,0
0,5.8,1,33,0
1,5.9,1,33,0
1,5.9,1,33,0
1,4.7,3,33,1
1,4.7,3,33,1
1,4.7,3,33,1
1,4.7,3,33,1
1,4.7,3,33,1
1,4.7,3,33,1
1,4.7,3,33,1
1,4.7,3,33,1
1,4.7,3,33,1
0,5.7,3,33,1
1,4.7,3,33,1
1,4.7,3,33,1
1,4.7,3,33,1
1,4.7,3,33,1
1,4.7,3,33,1
1,4.7,3,33,1
1,4.7,3,33,1
1,4.7,3,33,1
1,4.7,3,33,1
1,4.7,3,33,1
1,4.7,3,33,1
1,4.7,3,33,1
0,5.7,3,33,1
1,4.7,3,33,1
1,4.7,3,33,1
1,4.7,3,33,1
1,4.7,3,33,1
1,4.7,3,33,1
1,4.7,3,33,1
1,4.7,3,33,1
1,5.5,1,39,0
0,5.4,1,39,0
0,5.4,1,39,0
0,5.4,1,39,0
0,5.4,1,39,0
1,5.5,1,39,0
1,5.5,1,39,0
1,5.5,1,39,0
1,5.5,1,39,0
1,5.5,1,39,0
0,5.4,1,39,0
1,5.5,1,39,0
1,5.5,1,39,0
1,5.5,1,39,0
0,5.4,1,39,0
1,5.5,1,39,0
0,5.4,1,39,0
1,5.5,1,39,0
1,5.5,1,39,0
0,5.4,1,39,0
0,5.4,1,39,0
1,5.5,1,39,0
0,5.4,1,39,0
1,5.5,1,39,0
0,5.4,1,39,0
1,5.5,1,39,0
1,5.5,1,39,0
1,5.5,1,39,0
1,5.5,1,39,0
1,5.5,1,39,0
1,5.9,2,33,0
1,5.9,2,33,0
1,5.9,2,33,0
1,5.9,2,33,0
1,5.9,2,33,0
1,5.9,2,33,0
1,5.9,2,33,0
0,5.7,2,33,0
0,5.7,2,33,0
1,5.9,2,33,0
1,5.9,2,33,0
0,5.7,2,33,0
0,5.7,2,33,0
1,5.9,2,33,0
1,5.9,2,33,0
1,5.9,2,33,0
1,5.9,2,33,0
1,5.9,2,33,0
0,5.7,2,33,0
0,5.7,2,33,0
1,5.9,2,33,0
0,5.7,2,33,0
0,5.7,2,33,0
0,5.7,2,33,0
0,5.7,2,33,0
0,5.7,2,33,0
0,5.7,2,33,0
